STATION,STATION_NAME,DATE,HPCP
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000123 13:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000123 14:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000123 15:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000123 16:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000124 02:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000124 03:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000124 04:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000124 05:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000124 06:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000124 07:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000124 08:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000124 09:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000124 10:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000124 11:00,0.76
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000124 12:00,2.29
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000124 13:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000124 14:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000124 15:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000124 16:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000128 20:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000128 21:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 01:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 02:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 03:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 04:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 05:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 06:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 07:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 08:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 09:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 10:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 11:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000129 12:00,0.25
